type,num_episodes,status,start_date,end_date,season,studios,genres,score,release_year,studio_rank_score,duration,type_Movie,type_ONA,type_OVA,type_Special,type_TV,status_Currently Airing,status_Finished Airing,season_clean,season_Fall,season_None,season_Spring,season_Summer,season_Winter,season_spring,genre_Action,genre_Adventure,genre_Avant Garde,genre_Award Winning,genre_Boys Love,genre_Cars,genre_Comedy,genre_Demons,genre_Drama,genre_Ecchi,genre_Erotica,genre_Fantasy,genre_Game,genre_Girls Love,genre_Gourmet,genre_Harem,genre_Hentai,genre_Historical,genre_Horror,genre_Josei,genre_Kids,genre_Martial Arts,genre_Mecha,genre_Military,genre_Music,genre_Mystery,genre_Parody,genre_Police,genre_Psychological,genre_Romance,genre_Samurai,genre_School,genre_Sci-Fi,genre_Seinen,genre_Shoujo,genre_Shounen,genre_Slice of Life,genre_Space,genre_Sports,genre_Super Power,genre_Supernatural,genre_Suspense,genre_Vampire,genre_Work Life
TV,12,Finished Airing,2021-01-04,2021-03-22,Winter 2021,['LIDENFILMS' 'Felix Film'],['Adventure' 'Fantasy' 'Girls Love' 'Mystery' 'Sci-Fi'],6.5,2021,72,77.0,False,False,False,False,True,False,True,Winter,False,False,False,False,True,False,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TV,13,Finished Airing,2015-10-02,2015-12-25,Fall 2015,['Tomovies'],['Horror' 'Mystery' 'Supernatural' 'Suspense'],6.2,2015,4,84.0,False,False,False,False,True,False,True,Fall,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
TV,12,Finished Airing,2011-07-10,2011-09-25,Summer 2011,['AIC'],['Comedy' 'Romance' 'Ecchi' 'Harem' 'School'],6.39,2011,144,77.0,False,False,False,False,True,False,True,Summer,False,False,False,True,False,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TV,26,Finished Airing,2004-10-05,2005-03-29,Fall 2004,['Studio Comet'],['Comedy' 'Romance' 'School' 'Shounen'],7.82,2004,35,175.0,False,False,False,False,True,False,True,Fall,True,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TV,12,Finished Airing,2021-01-06,2021-03-24,Winter 2021,['White Fox'],['Drama' 'Fantasy' 'Suspense' 'Psychological'],8.46,2021,43,77.0,False,False,False,False,True,False,True,Winter,False,False,False,False,True,False,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TV,22,Finished Airing,2014-10-10,2015-03-20,Fall 2014,['A-1 Pictures'],['Drama' 'Romance' 'Music' 'School' 'Shounen'],8.62,2014,202,161.0,False,False,False,False,True,False,True,Fall,True,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TV,40,Finished Airing,2013-10-20,2014-02-24,Fall 2013,['Unknown'],['Action' 'Kids' 'Shounen'],7.24,2013,1493,127.0,False,False,False,False,True,False,True,Fall,True,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TV,25,Finished Airing,1998-04-11,1998-10-03,Spring 1998,['Group TAC'],['Adventure' 'Comedy' 'Sci-Fi' 'Shounen'],7.25,1998,63,175.0,False,False,False,False,True,False,True,Spring,False,False,True,False,False,False,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TV,6,Finished Airing,2011-04-10,2011-06-12,Spring 2011,['Toei Animation'],['Sports'],6.78,2011,482,63.0,False,False,False,False,True,False,True,Spring,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TV,24,Finished Airing,1988-03-14,1988-09-19,Spring 1988,['Studio Pierrot'],['Action' 'Adventure' 'Comedy'],6.76,1988,230,189.0,False,False,False,False,True,False,True,Spring,False,False,True,False,False,False,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
